brand_name,certification_type,product_image_url,product_link,category,price_range,description
Patagonia,B-Corp,https://images.unsplash.com/photo-1544441892-794166f1e3be?w=300,https://www.patagonia.com,Apparel,$50-500,"Ethical outdoor clothing from recycled materials. Carbon neutral shipping."
Dr. Bronner's,B-Corp,https://images.unsplash.com/photo-1600857062241-98e5dba7f214?w=300,https://www.drbronner.com,Personal Care,$5-30,"Fair trade organic soaps. 100% post-consumer recycled bottles."
Allbirds,B-Corp,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=300,https://www.allbirds.com,Footwear,$95-150,"Carbon-neutral shoes. Sustainable wool and eucalyptus materials."
Ecover,B-Corp,https://images.unsplash.com/photo-1563453392212-326f5e854473?w=300,https://www.ecover.com,Household,$4-20,"Plant-based cleaning. Ocean plastic bottles."
Seventh Generation,B-Corp,https://images.unsplash.com/photo-1585155770447-2f66e2a397b5?w=300,https://www.seventhgeneration.com,Household,$5-25,"Non-toxic cleaning. 100% recycled packaging."
Pact,Climate Neutral,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?w=300,https://www.wearpact.com,Apparel,$20-80,"Organic cotton clothing. Fair trade certified factories."
Tentree,Climate Neutral,https://images.unsplash.com/photo-1556905055-8f358a7a47b2?w=300,https://www.tentree.com,Apparel,$30-100,"Plants 10 trees per item. Recycled materials."
Who Gives A Crap,B-Corp,https://images.unsplash.com/photo-1585155770447-2f66e2a397b5?w=300,https://www.whogivesacrap.org,Household,$10-50,"Tree-free toilet paper. 50% profits to sanitation."
Ethique,Climate Neutral,https://images.unsplash.com/photo-1600857062241-98e5dba7f214?w=300,https://www.ethique.com,Personal Care,$15-40,"Zero waste beauty bars. Biodegradable packaging."
Nudie Jeans,B-Corp,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=300,https://www.nudiejeans.com,Apparel,$100-300,"Organic cotton jeans. Free repair service."
Finisterre,B-Corp,https://images.unsplash.com/photo-1556905055-8f358a7a47b2?w=300,https://www.finisterre.com,Apparel,$50-250,"Sustainable surf wear. Recycled polyester."
Veja,Fair Trade,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=300,https://www.veja-store.com,Footwear,$80-150,"Fair trade sneakers. Organic cotton, wild rubber."
Pela Case,B-Corp,https://images.unsplash.com/photo-1585155770447-2f66e2a397b5?w=300,https://www.pelacase.com,Accessories,$30-50,"Compostable phone cases. Ocean plastic neutral."
Bamboozy,USDA Organic,https://images.unsplash.com/photo-1585155770447-2f66e2a397b5?w=300,https://www.bamboozy.com,Household,$15-40,"Organic bamboo straws. Plastic free packaging."
Cariuma,B-Corp,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=300,https://www.cariuma.com,Footwear,$89-150,"Sustainable sneakers. Plants 2 trees per pair."
ChicoBag,B-Corp,https://images.unsplash.com/photo-1563453392212-326f5e854473?w=300,https://www.chicobag.com,Accessories,$10-40,"Reusable bags and gear. Climate neutral certified."
KeepCup,B-Corp,https://images.unsplash.com/photo-1585155770447-2f66e2a397b5?w=300,https://www.keepcup.com,Household,$15-40,"Reusable coffee cups. Minimalist design for waste reduction."
Preserve,B-Corp,https://images.unsplash.com/photo-1563453392212-326f5e854473?w=300,https://www.preserve.eco,Household,$5-30,"Recycled plastic toothbrushes and razors."
MUD Jeans,B-Corp,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=300,https://www.mudjeans.eu,Apparel,$100-200,"Circular denim. Lease your jeans, return for recycling."
A Good Company,B-Corp,https://images.unsplash.com/photo-1585155770447-2f66e2a397b5?w=300,https://www.agood.com,Stationery,$20-100,"Stone paper notebooks. Carbon negative production."
